Output for Apriori algorithm C++ program

Item     Frequency              Support
champagne mineral water         56              0.746567%
champagne olive oil     12              0.159979%
champagne pancakes      38              0.506599%
champagne salmon        19              0.2533%
champagne shrimp        19              0.2533%
champagne soup  14              0.186642%
champagne spaghetti     50              0.666578%
champagne tomatoes      20              0.266631%
champagne turkey        12              0.159979%
champagne whole wheat rice      23              0.306626%
chicken chocolate       110             1.46647%
chicken cookies         19              0.2533%
chicken cooking oil     51              0.679909%
chicken eggs    108             1.43981%
chicken escalope        27              0.359952%
chicken french fries    83              1.10652%
chicken fresh bread     39              0.519931%
chicken frozen smoothie         50              0.666578%
chicken frozen vegetables       67              0.893214%
chicken grated cheese   32              0.42661%
chicken green tea       89              1.18651%
chicken ground beef     71              0.94654%
chicken herb & pepper   37              0.493268%
chicken honey   31              0.413278%
chicken low fat yogurt  33              0.439941%
chicken milk    111             1.4798%
chicken mineral water   171             2.2797%
chicken olive oil       54              0.719904%
chicken pancakes        68              0.906546%
chicken salmon  30              0.399947%
chicken shrimp  47              0.626583%
chicken soup    45              0.59992%
chicken spaghetti       129             1.71977%
chicken tomatoes        48              0.639915%
chicken turkey  36              0.479936%
chicken whole wheat rice        41              0.546594%
chocolate cookies       78              1.03986%
chocolate cooking oil   102             1.35982%
chocolate eggs  249             3.31956%
chocolate escalope      132             1.75977%
chocolate french fries  258             3.43954%
chocolate fresh bread   71              0.94654%
chocolate frozen smoothie       112             1.49313%
chocolate frozen vegetables     172             2.29303%
chocolate grated cheese         82              1.09319%
chocolate green tea     176             2.34635%
chocolate ground beef   173             2.30636%
chocolate herb & pepper         68              0.906546%
chocolate honey         60              0.799893%
chocolate low fat yogurt        111             1.4798%
chocolate milk  241             3.2129%
chocolate mineral water         395             5.26596%
chocolate olive oil     123             1.63978%
chocolate pancakes      149             1.9864%
chocolate salmon        80              1.06652%
chocolate shrimp        135             1.79976%
chocolate soup  76              1.0132%
chocolate spaghetti     294             3.91948%
chocolate tomatoes      105             1.39981%
chocolate turkey        85              1.13318%
chocolate whole wheat rice      90              1.19984%
cookies cooking oil     16              0.213305%
cookies eggs    79              1.05319%
cookies escalope        19              0.2533%
cookies french fries    100             1.33316%
cookies fresh bread     20              0.266631%
cookies frozen smoothie         23              0.306626%
cookies frozen vegetables       19              0.2533%
cookies grated cheese   21              0.279963%
cookies green tea       90              1.19984%
cookies ground beef     33              0.439941%
cookies herb & pepper   18              0.239968%
cookies honey   15              0.199973%
cookies low fat yogurt  40              0.533262%
cookies milk    33              0.439941%
cookies mineral water   56              0.746567%
cookies olive oil       12              0.159979%
cookies pancakes        39              0.519931%
cookies salmon  10              0.133316%
cookies shrimp  31              0.413278%
cookies soup    17              0.226636%
cookies spaghetti       60              0.799893%
cookies tomatoes        22              0.293294%
cookies turkey  20              0.266631%
cookies whole wheat rice        30              0.399947%
cooking oil eggs        88              1.17318%
cooking oil escalope    40              0.533262%
cooking oil french fries        59              0.786562%
cooking oil fresh bread         22              0.293294%
cooking oil frozen smoothie     36              0.479936%
cooking oil frozen vegetables   51              0.679909%
cooking oil grated cheese       43              0.573257%
cooking oil green tea   53              0.706572%
cooking oil ground beef         63              0.839888%
cooking oil herb & pepper       40              0.533262%
cooking oil honey       25              0.333289%
cooking oil low fat yogurt      49              0.653246%
cooking oil milk        86              1.14651%
cooking oil mineral water       151             2.01306%
cooking oil olive oil   38              0.506599%
cooking oil pancakes    59              0.786562%
cooking oil salmon      29              0.386615%
cooking oil shrimp      45              0.59992%
cooking oil soup        40              0.533262%
cooking oil spaghetti   119             1.58646%
cooking oil tomatoes    50              0.666578%
cooking oil turkey      43              0.573257%
cooking oil whole wheat rice    41              0.546594%
eggs escalope   83              1.10652%
eggs french fries       273             3.63951%
eggs fresh bread        65              0.866551%
eggs frozen smoothie    83              1.10652%
eggs frozen vegetables  163             2.17304%
eggs grated cheese      68              0.906546%
eggs green tea  191             2.54633%
eggs ground beef        150             1.99973%
eggs herb & pepper      94              1.25317%
eggs honey      43              0.573257%
eggs low fat yogurt     126             1.67978%
eggs milk       231             3.07959%
eggs mineral water      382             5.09265%
eggs olive oil  90              1.19984%
eggs pancakes   163             2.17304%
eggs salmon     62              0.826556%
eggs shrimp     106             1.41314%
eggs soup       68              0.906546%
eggs spaghetti  274             3.65285%
eggs tomatoes   92              1.2265%
eggs turkey     146             1.94641%
eggs whole wheat rice   82              1.09319%
